question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,bank_title,course_type,module,objective_code,poi_topic,points,question_type,hint,explanation,source_url,bank_description,image_file
S05-11 — Turn warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w1-1-turn.svg"" alt=""Turn warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>How does this sign differ from a curve warning sign?</p>",It warns of a sharper right turn that normally requires a greater speed reduction,It warns that the road gradually bends right with no speed adjustment needed,It requires every vehicle to turn right at the next intersection,It identifies the beginning of a one-way roadway,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w1-1-turn.svg
S05-12 — Turn warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w1-1-turn.svg"" alt=""Turn warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What should a driver do before reaching the turn shown?</p>",Cross the center line if that makes the turn less sharp,Maintain the posted straight-road speed throughout the turn,Slow to a safe turning speed before steering into the turn,Begin braking only after the vehicle has entered the turn,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w1-1-turn.svg
S05-13 — Crossroad warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w2-1-crossroad.svg"" alt=""Crossroad warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>Which roadway layout does this warning sign show?</p>",Another roadway crosses the driver’s roadway ahead,The driver’s roadway ends at a T-intersection,A divided highway begins beyond the intersection,Traffic from the right will merge into the same lane,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w2-1-crossroad.svg
S05-14 — Crossroad warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w2-1-crossroad.svg"" alt=""Crossroad warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>Why should a driver reduce speed and scan after seeing this sign?</p>",The roadway beyond the intersection permits passing in either direction,Vehicles or other road users may enter or cross from either side,The driver must always stop before reaching the intersecting road,"Cross traffic is required to yield, so the driver may continue without scanning",B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w2-1-crossroad.svg
S05-15 — Side-road warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w2-2-side-road.svg"" alt=""Side-road warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this warning sign show?</p>",The right travel lane ends ahead,Traffic must turn right at the next road,A divided highway begins on the right,A side road enters from the right ahead,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w2-2-side-road.svg
S05-16 — Side-road warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w2-2-side-road.svg"" alt=""Side-road warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What hazard should the driver anticipate?</p>",The shoulder becomes a travel lane at the side road,"A vehicle may enter, leave, or cross near the side road",All traffic ahead will be required to turn onto the side road,Oncoming traffic will begin using the driver’s lane,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w2-2-side-road.svg
S05-17 — Merging traffic,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w4-1-merge.svg"" alt=""Merging traffic highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What condition does this sign warn about?</p>",The right lane ends and every vehicle must turn left,A side road crosses the highway at a right angle,The roadway changes from two-way to one-way traffic,Traffic will merge into the driver’s lane from the right,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w4-1-merge.svg
S05-18 — Merging traffic,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w4-1-merge.svg"" alt=""Merging traffic highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>How should a driver prepare for the merge shown?</p>",Check surrounding traffic and adjust speed or following space when needed,Move immediately into the left lane without checking for other vehicles,Maintain the same speed and spacing because merging traffic must always stop,Move onto the shoulder to leave the travel lane clear for merging traffic,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w4-1-merge.svg
S05-19 — Divided highway,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w6-1-divided-highway.svg"" alt=""Divided highway highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>Which roadway change does this sign warn about?</p>",Two-way traffic begins on an undivided roadway,The roadway narrows to one lane in each direction,A divided highway begins ahead,The median or divided highway ends ahead,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w6-1-divided-highway.svg
S05-20 — Divided highway,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w6-1-divided-highway.svg"" alt=""Divided highway highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>How must a driver travel when the divider begins?</p>",Choose either side of the divider when no traffic is approaching,Move left of the divider before making any turn,Stop before the divider and wait for opposing traffic to clear,Keep to the right of the median or physical divider,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w6-1-divided-highway.svg
S05-21 — Two-way traffic,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w6-3-two-way-traffic.svg"" alt=""Two-way traffic highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What change does this sign warn about?</p>",A center lane begins for passing slower vehicles,The roadway ahead carries traffic in both directions,The roadway ahead becomes divided by a median,Both lanes ahead travel in the driver’s direction,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w6-3-two-way-traffic.svg
S05-22 — Two-way traffic,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w6-3-two-way-traffic.svg"" alt=""Two-way traffic highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>How should a driver respond to the return of two-way traffic?</p>",Use the left side of the roadway when the right lane is occupied,Expect the opposing lane to be separated by a barrier,Prepare to use either lane for passing,Keep right and remain alert for approaching traffic,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w6-3-two-way-traffic.svg
S05-23 — Slippery roadway,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w8-5-slippery-when-wet.svg"" alt=""Slippery roadway highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What hazard does this sign identify?</p>",Vehicles must alternate between the two lanes,The pavement may become slippery when wet,The roadway contains a series of sharp curves,Loose gravel is present on the roadway,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w8-5-slippery-when-wet.svg
S05-24 — Slippery roadway,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w8-5-slippery-when-wet.svg"" alt=""Slippery roadway highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>Which driving technique is appropriate when the pavement may be slippery?</p>","Reduce speed and make steering, braking, and acceleration inputs smoothly",Use cruise control to prevent the vehicle’s speed from changing,Follow another vehicle more closely to copy its path,Brake firmly while turning so the tires maintain traction,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w8-5-slippery-when-wet.svg
S05-25 — Pedestrian warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w11-2-pedestrian.svg"" alt=""Pedestrian warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this sign warn drivers to expect?</p>",Only a school crossing guard may stop traffic ahead,A sidewalk ends and pedestrians must turn around,Pedestrians may be in or near the roadway ahead,Pedestrians are prohibited from using the roadway ahead,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w11-2-pedestrian.svg
S05-26 — Pedestrian warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w11-2-pedestrian.svg"" alt=""Pedestrian warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What should a driver do after seeing this sign?</p>","Scan both sides of the roadway, reduce speed as needed, and be prepared to yield",Continue at the same speed unless several pedestrians enter together,Move toward the shoulder to pass behind any pedestrian,Sound the horn so pedestrians will remain outside the roadway,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w11-2-pedestrian.svg
S05-27 — Signal ahead,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w3-3-signal-ahead.svg"" alt=""Signal ahead highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this warning sign indicate?</p>",A stop sign is hidden beyond the next intersection,A flashing emergency-vehicle signal is ahead,A traffic-control signal is ahead,A railroad signal controls the roadway ahead,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w3-3-signal-ahead.svg
S05-28 — Signal ahead,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w3-3-signal-ahead.svg"" alt=""Signal ahead highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>Why should a driver begin responding before the signal is visible?</p>",The signal will change to green when the driver reaches it,Traffic may be stopped beyond the driver’s current sight distance,The warning sign gives the driver permission to ignore a red signal,Cross traffic must stop until the approaching driver passes,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w3-3-signal-ahead.svg
S05-29 — Do not enter,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r5-1-do-not-enter.svg"" alt=""Do not enter highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this sign mean?</p>",The driver must stop before entering,Traffic may enter after yielding to opposing vehicles,The roadway becomes two-way beyond the sign,Entry from the driver’s direction is prohibited,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r5-1-do-not-enter.svg
S05-30 — Do not enter,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r5-1-do-not-enter.svg"" alt=""Do not enter highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>A driver encounters this sign at a ramp entrance. What should the driver do?</p>",Do not enter and select a lawful route,Enter only after stopping and checking for traffic,Wait for a large gap and then enter cautiously,Enter only if the ramp appears to be empty,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r5-1-do-not-enter.svg
S05-31 — Wrong way,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r5-1a-wrong-way.svg"" alt=""Wrong way highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this sign warn a driver?</p>",The driver must use the left lane to continue,A detour route begins at the next intersection,The vehicle is entering or traveling against the permitted direction,The roadway is temporarily closed in both directions,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r5-1a-wrong-way.svg
S05-32 — Wrong way,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r5-1a-wrong-way.svg"" alt=""Wrong way highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What should a driver do when this sign is facing the driver?</p>",Stop in a safe location and correct direction without continuing into opposing traffic,Continue slowly until a Do Not Enter sign confirms the restriction,Move to the far-left lane and continue with hazard lights on,Make an immediate turn without checking surrounding traffic,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r5-1a-wrong-way.svg
S05-33 — One-way roadway,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r6-1-one-way.svg"" alt=""One-way roadway highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this sign establish?</p>",Only turning vehicles may use the roadway,Traffic may travel in either direction after stopping,Traffic moves only in the direction of the arrow,Traffic approaching from the arrow’s direction must yield,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r6-1-one-way.svg
S05-34 — One-way roadway,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r6-1-one-way.svg"" alt=""One-way roadway highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>Before turning onto the roadway shown, what must a driver confirm?</p>",No vehicle is parked on the side toward which the arrow points,The roadway has at least two marked travel lanes,Traffic is light enough to travel briefly against the arrow,The intended turn will place the vehicle in the permitted direction of travel,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r6-1-one-way.svg
S05-35 — All-way stop,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r1-1-r1-3p-all-way-stop.png"" alt=""All-way stop highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does the ALL WAY plaque mean?</p>",All traffic may proceed together after stopping,Every approach to the intersection is controlled by a stop sign,Only the four main travel lanes are required to stop,The intersection operates as a yield during light traffic,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r1-1-r1-3p-all-way-stop.png
