question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,bank_title,course_type,module,objective_code,poi_topic,points,question_type,hint,explanation,source_url,bank_description,image_file
R06-04 — Passing on the right,When may passing on the right be considered?,Whenever the vehicle ahead is below the speed limit,By driving on an unpaved shoulder,At every railroad crossing,Only when it is legal and can be completed safely without leaving the roadway,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 6,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R06-05 — Lane selection for turns,A driver preparing for a turn should generally enter which lane?,The shoulder beside the intersection,The proper lane for the intended turn before reaching the intersection,Any lane that appears shortest,The oncoming traffic lane,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 6,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R07-03 — Parking on hills,Why should a parked vehicle on a hill have its wheels positioned correctly?,To signal that the vehicle is unoccupied,To help prevent the vehicle from rolling into traffic if it moves,To make the steering wheel easier to turn later,To increase tire pressure,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 7,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R07-04 — Prohibited parking,Why is parking in front of a public or private driveway prohibited?,It obstructs lawful access to and from the property,It changes the roadway speed limit,It causes traffic signals to malfunction,It is allowed whenever hazard lights are used,A,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 7,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R08-03 — Speed for conditions,"What determines a safe and legal speed when weather, traffic, or visibility is poor?",Only the speed of the vehicle ahead,The highest speed the vehicle can maintain,The number of lanes on the road,The posted limit together with the need to drive reasonably for actual conditions,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 8,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R08-04 — Driving too slowly,Why can driving far below the normal traffic speed be unsafe when conditions do not require it?,It prevents vehicles from passing legally,It makes following distance unnecessary,It can interfere with traffic flow and create conflicts,It automatically gives the slow driver right-of-way,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 8,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R09-04 — Tire failure,"If a tire suddenly loses air while driving, what is the safest general response?",Accelerate until the vehicle stabilizes,"Hold the steering wheel firmly, ease off the accelerator, and slow gradually",Brake as hard as possible immediately,Turn sharply toward the shoulder,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 9,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R09-05 — Skid recovery,"When a vehicle begins to skid, why should a driver avoid abrupt braking and steering?",Abrupt inputs always stop the skid instantly,Steering no longer affects the vehicle,The engine must be turned off first,Abrupt inputs can make the loss of traction and control worse,D,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 9,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R10-03 — Impairment prevention,What is the only dependable way to avoid alcohol-impaired driving?,Wait until feeling confident,Drive slowly on familiar streets,Do not drive after consuming alcohol and arrange a sober alternative,Drink coffee before driving,C,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 10,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R11-03 — Crash information,"After a reportable crash, what information should involved drivers exchange as required?",Social-media account information,"Identity, vehicle, and financial-responsibility information",Only first names,Only the destination of each driver,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 11,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
R12-02 — White cane safety,What should a driver do when encountering a pedestrian using a white cane or guide dog?,Pass closely before the pedestrian enters the lane,Yield and use exceptional care because the pedestrian may be visually impaired,Sound the horn continuously and proceed,Assume the pedestrian can see traffic signals,B,Gulf Breeze Adult Final — Traffic Laws Bank,adult_en,4.1.9,4.1.9.1(A),Traffic law — Handbook Chapter 12,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed traffic-law question bank for the controlled Adult English final assessment.,
